category,final,initial,market,name,price
padaria,17/04/2019,29/03/2019,mundial,Pãezinhos Especiais MILANI Vários Sabores 300g,4.95
padaria,17/04/2019,29/03/2019,mundial,Bisnaguinhas  GRÃO LEV 300g,2.95
padaria,17/04/2019,29/03/2019,mundial,Pão WICKBOLD ESTAR LEVE Vários Sabores 300g / 370g / 430g,5.95
padaria,17/04/2019,29/03/2019,mundial,Pão de Forma WICKBOLD Tradicional 500g,4.95
bazar,17/04/2019,29/03/2019,mundial,Guardanapo de Papel COQUETEL Pequeno LEVE 100 PAGUE 90,2.19
bazar,17/04/2019,29/03/2019,mundial,Cabides PRIMAFER LEVE 6 PAGUE 5,11.19
bazar,17/04/2019,29/03/2019,mundial,Lâmpada TASCHIBRA Led 9W 6.500 k,6.19
bazar,17/04/2019,29/03/2019,mundial,Lâmpada KIAN Led Classic 12W,9.19
bazar,17/04/2019,29/03/2019,mundial,"Saladeira Média, Pote Vac, Pote p/ Biscoito, Pote p/ Fiambres 1,4 L, Porta-Ovo, Lava-Tudo Casa, Garrafa Gole Gut c/ Bico 630ml ou Forma Flexível p/ Gelo SANREMO",7.19
bazar,17/04/2019,29/03/2019,mundial,Bolsa Retornável Modelos Diversos 35cm x 40cm,2.99
bazar,17/04/2019,29/03/2019,mundial,"Folha de Alumínio PRATSY 30cm X 7,5m ou Filme de PVC PRATSY Rolo 15m",2.99
bazar,17/04/2019,29/03/2019,mundial,Filtro de Papel MELITTA 102 c/ 30 Unidades,2.99
bazar,17/04/2019,29/03/2019,mundial,Filtro de Papel MELITTA 103 c/ 30 Unidades,3.99
bazar,17/04/2019,29/03/2019,mundial,Toalha de Papel SNOB c/ 2 de 60 Folhas,4.99
bazar,17/04/2019,29/03/2019,mundial,Toalha de Papel KITCHEN LEVE 240 FOLHAS PAGUE 220 FOLHAS,6.99
bazar,17/04/2019,29/03/2019,mundial,Toalha de Papel COQUETEL c/ 2 de 60 Folhas,3.99
bazar,17/04/2019,29/03/2019,mundial,Guardanapo de Papel COQUETEL Grande LEVE 100 PAGUE 90,4.99
pet-shop,17/04/2019,29/03/2019,mundial,Shampoo PREVIN Antipulgas 300ml,12.99
pet-shop,17/04/2019,29/03/2019,mundial,Petiscos  DREAMIES Vários Tipos 40g,3.99
pet-shop,17/04/2019,29/03/2019,mundial,Ração WHISKAS Vários Tipos 1 kg,15.99
pet-shop,17/04/2019,29/03/2019,mundial,Petiscos BISCROK Vários Tipos 500g,13.99
pet-shop,17/04/2019,29/03/2019,mundial,"Ração PEDIGREE Vários Tipos (Exceto Equilíbrio Natural) 10,1  kg",79.99
pet-shop,17/04/2019,29/03/2019,mundial,Ração KANINA Vários Tipos 15 kg,79.99
limpeza,17/04/2019,29/03/2019,mundial,Lava-Roupas em Pó BRILHANTE 2 kg,9.98
limpeza,17/04/2019,29/03/2019,mundial,"Alvejante VANISH Pink ou White 1,5 L 20% DE DESCONTO",15.98
limpeza,17/04/2019,29/03/2019,mundial,Tira-Manchas OMO em Pó Extra Poder 380g,10.98
limpeza,17/04/2019,29/03/2019,mundial,Tira-Manchas OMO Roupas Brancas ou Coloridas Refil 450ml,4.98
limpeza,17/04/2019,29/03/2019,mundial,Tira-Manchas Multiuso em Pó VANISH Pink ou White Refil 400g,11.98
limpeza,17/04/2019,29/03/2019,mundial,"Amaciante de Roupas MON BIJOU Vários Tipos LEVE 2 L PAGUE 1,8 L",5.98
limpeza,17/04/2019,29/03/2019,mundial,"Amaciante de Roupas COMFORT Original LEVE 2 L PAGUE 1,7 L",11.98
limpeza,17/04/2019,29/03/2019,mundial,Água Sanitária SUPER GLOBO 2 L,4.98
limpeza,17/04/2019,29/03/2019,mundial,Lava-Louças GEL Care 30 Vários Tipos 512g,4.79
limpeza,17/04/2019,29/03/2019,mundial,Sabão Pastoso NEUTRAL 500g,3.79
limpeza,17/04/2019,29/03/2019,mundial,Inseticida Elétrico SBP Led c/ 2 Refis de 35ml 50% DE DESCONTO NO SEGUNDO REFIL,13.79
limpeza,17/04/2019,29/03/2019,mundial,"Inseticida Elétrico RAID 45 Noites Aparelho + 3 Refis de 32,9ml EMBALAGEM ECONÔMICA",14.79
limpeza,17/04/2019,29/03/2019,mundial,Inseticida Aerossol BAYGON Vários Tipos 360ml EMBALAGEM ECONÔMICA,5.79
limpeza,17/04/2019,29/03/2019,mundial,Inseticida Aerossol SBP Vários Tipos LEVE 450ml  PAGUE 300ml,8.79
limpeza,17/04/2019,29/03/2019,mundial,Inseticida Aerossol RAID Vários Tipos 420ml LEVE MAIS PAGUE MENOS,8.79
limpeza,17/04/2019,29/03/2019,mundial,Esponja SCOTCH-BRITE Vários Tipos LEVE 3 PAGUE 2,4.79
limpeza,17/04/2019,29/03/2019,mundial,Repelente OFF! Kids LEVE 200ml PAGUE 117ml,12.40
limpeza,17/04/2019,29/03/2019,mundial,Repelente OFF! Longa Duração Spray 200ml,21.40
limpeza,17/04/2019,29/03/2019,mundial,Mop CONDOR Spray Ref.: 98749,49.40
limpeza,17/04/2019,29/03/2019,mundial,Varredora de Piso CONDOR Ref.: 98754,45.40
limpeza,17/04/2019,29/03/2019,mundial,"Vassouras CONDOR V-9 Varre Muito Ref.: 97903, V-52 Varre Forte Ref.: 97693, V-35 Varre Fácil Ref.: 97691 ou Rodo 40 cm Ref.: 97103",9.40
limpeza,17/04/2019,29/03/2019,mundial,Limpador Perfumado VEJA Vários Tipos 1 L 30% DE DESCONTO,5.78
limpeza,17/04/2019,29/03/2019,mundial,Limpador Perfumado CASA & PERFUME Vários Tipos LEVE 1 L PAGUE 900ml,4.78
limpeza,17/04/2019,29/03/2019,mundial,Desinfetante PINHO BRIL Vários Tipos 500ml,2.78
limpeza,17/04/2019,29/03/2019,mundial,Limpador Multiuso CIF Original Ultra Rápido 500ml,2.78
limpeza,17/04/2019,29/03/2019,mundial,Limpador p/ Pisos OMO Vários Tipos 450ml,4.78
limpeza,17/04/2019,29/03/2019,mundial,Limpador VEJA X-14 Tira-Limo Banheiro Recarga c/ 2 Unids. de 500ml C/ 50% DE DESCONTO NA 2ª UNIDADE,15.78
limpeza,17/04/2019,29/03/2019,mundial,Limpador Desengordurante VEJA Cozinha Limão Recarga c/ 2 de 500ml C/ 50% DE DESCONTO NA 2ª UNIDADE,13.78
limpeza,17/04/2019,29/03/2019,mundial,Bloco Sanitário VIM Citrus Poder X5 55g,8.78
higiene,17/04/2019,29/03/2019,mundial,Roupa Íntima PLENITUD Active Mulher ou Protect Plus,19.98
higiene,17/04/2019,29/03/2019,mundial,Toalhas Umedecidas ADULTCARE c/ 40 Unids.,8.98
higiene,17/04/2019,29/03/2019,mundial,Lenços Umedecidos NEVE Toque de Seda c/ 48 Unids.,7.98
higiene,17/04/2019,29/03/2019,mundial,Papel Higiênico PERSONAL VIP Folha Dupla Neutro LEVE 12 PAGUE 11,12.98
higiene,17/04/2019,29/03/2019,mundial,Fraldas PAMPERS Confort Sec MEGA,43.96
higiene,17/04/2019,29/03/2019,mundial,Toalhas Umedecidas HUGGIES LEVE 4 PAGUE 3,29.96
higiene,17/04/2019,29/03/2019,mundial,Protetor Diário CAREFREE Todo Dia s/ Perfume c/ 40 EMBALAGEM ECONÔMICA,4.96
higiene,17/04/2019,29/03/2019,mundial,Absorvente INTIMUS GEL Normal Seca ou Suave c/ Abas LEVE 16 PAGUE 14,4.96
higiene,17/04/2019,29/03/2019,mundial,Absorvente ALWAYS Noturno Active Seca ou Pink Suave c/ 32 LEVE MAIS PAGUE MENOS,17.96
higiene,17/04/2019,29/03/2019,mundial,Absorventes Geriátricos ADULTCARE c/ 20 Unids.,11.96
higiene,17/04/2019,29/03/2019,mundial,Fraldas Geriátricas ADULTCARE Plus,11.96
higiene,17/04/2019,29/03/2019,mundial,Fraldas Geriátricas ADULTCARE Pants,18.96
